k,alpha,eta,seed,c_v,u_mass,perplexity
15,0.01,0.1,123,0.48830252308734645,-2.3107983367854663,-8.03832959554144
15,0.01,0.1,456,0.4680449181857617,-2.420493301693873,-8.031312045287992
15,0.1,symmetric,42,0.45918916466149823,-2.4032636519941,-8.181967576109004
15,0.1,symmetric,123,0.4669872932356469,-2.408679004891789,-8.175541169155041
15,0.1,symmetric,456,0.4658505026056533,-2.398000060273501,-8.167390624048927
15,0.1,0.01,42,0.45908770291246614,-2.3785039080918042,-8.600656592464558
15,0.1,0.01,123,0.4672280549367686,-2.4529796780455095,-8.588178616496132
15,0.1,0.01,456,0.46878089595217276,-2.3966557030911875,-8.588983305650498
15,0.1,0.1,42,0.464349093845536,-2.383099102242834,-8.126084469890067
15,0.1,0.1,123,0.4777247764148598,-2.3597411796349093,-8.121262996053774
15,0.1,0.1,456,0.4682084106073324,-2.3906756031397456,-8.11113150205841
15,0.5,symmetric,42,0.4326393049345896,-2.6166641425914223,-8.267704197311831
15,0.5,symmetric,123,0.4357805736397186,-2.644931789699132,-8.249588682700438
15,0.5,symmetric,456,0.4343298730678549,-2.7316313177565466,-8.248602737091902
15,0.5,0.01,42,0.4262993989589359,-2.626526347059888,-8.658905665351547
15,0.5,0.01,123,0.4355331340270555,-2.6214160409634184,-8.63877956621137
15,0.5,0.01,456,0.43590883721574003,-2.7041055020999654,-8.638929482229127
15,0.5,0.1,42,0.4301166666891761,-2.6730602638409455,-8.228201419757482
15,0.5,0.1,123,0.4335281144569664,-2.679820428120669,-8.211022782010724
15,0.5,0.1,456,0.4335853167139498,-2.743800240441115,-8.209404999800785
20,symmetric,symmetric,42,0.46134103277138366,-2.5016850735189733,-8.248624965612223
20,symmetric,symmetric,123,0.465930854806812,-2.4477091610576176,-8.247255152426119
20,symmetric,symmetric,456,0.4684059838814316,-2.4750282992277897,-8.24771771281492
20,symmetric,0.01,42,0.45478775243593317,-2.514582759681682,-8.660878758740619
