k,init,alpha,l1_ratio,coherence_cv,reconstruction_error
5,nndsvd,0.0,0.0,0.43679558380888717,69.52715907822403
5,nndsvd,0.0,0.5,0.43679558380888717,69.52715907822403
5,nndsvd,0.0,1.0,0.43679558380888717,69.52715907822403
5,nndsvd,0.1,0.0,0.49535421037125493,70.42016756583303
5,nndsvd,0.1,0.5,0.6410835180908232,70.42016756583303
5,nndsvd,0.1,1.0,0.43808591265017266,70.42016756583303
5,nndsvd,0.5,0.0,0.49535421037125493,70.42016756583303
5,nndsvd,0.5,0.5,0.6410835180908232,70.42016756583303
5,nndsvd,0.5,1.0,0.43808591265017266,70.42016756583303
5,nndsvda,0.0,0.0,0.43679558380888717,69.52715923002836
5,nndsvda,0.0,0.5,0.43679558380888717,69.52715923002836
5,nndsvda,0.0,1.0,0.43679558380888717,69.52715923002836
5,nndsvda,0.1,0.0,0.49535421037125493,70.42016756583303
5,nndsvda,0.1,0.5,0.6410835180908232,70.42016756583303
5,nndsvda,0.1,1.0,0.43808591265017266,70.42016756583303
5,nndsvda,0.5,0.0,0.49535421037125493,70.42016756583303
5,nndsvda,0.5,0.5,0.6410835180908232,70.42016756583303
5,nndsvda,0.5,1.0,0.43808591265017266,70.42016756583303
5,random,0.0,0.0,0.47264934683820725,69.54178877329494
5,random,0.0,0.5,0.47264934683820725,69.54178877329494
5,random,0.0,1.0,0.47264934683820725,69.54178877329494
5,random,0.1,0.0,0.49704171442691714,70.42016756583303
5,random,0.1,0.5,0.6410835180908232,70.42016756583303
5,random,0.1,1.0,0.6658528075618052,70.42016756583303
5,random,0.5,0.0,0.49704171442691714,70.42016756583303
5,random,0.5,0.5,0.6410835180908232,70.42016756583303
5,random,0.5,1.0,0.6658528075618052,70.42016756583303
10,nndsvd,0.0,0.0,0.3714898518881674,69.031284857878
10,nndsvd,0.0,0.5,0.3714898518881674,69.031284857878
10,nndsvd,0.0,1.0,0.3714898518881674,69.031284857878
10,nndsvd,0.1,0.0,0.498634108294565,70.42016756583303
10,nndsvd,0.1,0.5,0.6410835180908233,70.42016756583303
10,nndsvd,0.1,1.0,0.4256299342692659,70.42016756583303
10,nndsvd,0.5,0.0,0.498634108294565,70.42016756583303
10,nndsvd,0.5,0.5,0.6410835180908233,70.42016756583303
10,nndsvd,0.5,1.0,0.4256299342692659,70.42016756583303
10,nndsvda,0.0,0.0,0.3714898518881674,69.03128492868557
10,nndsvda,0.0,0.5,0.3714898518881674,69.03128492868557
10,nndsvda,0.0,1.0,0.3714898518881674,69.03128492868557
10,nndsvda,0.1,0.0,0.49717925570081356,70.42016756583303
10,nndsvda,0.1,0.5,0.6410835180908233,70.42016756583303
10,nndsvda,0.1,1.0,0.4256299342692659,70.42016756583303
10,nndsvda,0.5,0.0,0.49717925570081356,70.42016756583303
10,nndsvda,0.5,0.5,0.6410835180908233,70.42016756583303
10,nndsvda,0.5,1.0,0.4256299342692659,70.42016756583303
10,random,0.0,0.0,0.3714898518881674,69.03128486014266
10,random,0.0,0.5,0.3714898518881674,69.03128486014266
10,random,0.0,1.0,0.3714898518881674,69.03128486014266
10,random,0.1,0.0,0.4955868618331657,70.42016756583303
10,random,0.1,0.5,0.6410835180908233,70.42016756583303
10,random,0.1,1.0,0.6891415426747614,70.42016756583303
10,random,0.5,0.0,0.4955868618331657,70.42016756583303
10,random,0.5,0.5,0.6410835180908233,70.42016756583303
10,random,0.5,1.0,0.6891415426747614,70.42016756583303
15,nndsvd,0.0,0.0,0.3530608727934818,68.60731064919682
15,nndsvd,0.0,0.5,0.3530608727934818,68.60731064919682
15,nndsvd,0.0,1.0,0.3530608727934818,68.60731064919682
15,nndsvd,0.1,0.0,0.4927865892956376,70.42016756583303
15,nndsvd,0.1,0.5,0.6410835180908234,70.42016756583303
15,nndsvd,0.1,1.0,0.38451976100992197,70.42016756583303
15,nndsvd,0.5,0.0,0.4927865892956376,70.42016756583303
15,nndsvd,0.5,0.5,0.6410835180908234,70.42016756583303
15,nndsvd,0.5,1.0,0.38451976100992197,70.42016756583303
15,nndsvda,0.0,0.0,0.3530608727934818,68.60731086143582
15,nndsvda,0.0,0.5,0.3530608727934818,68.60731086143582
15,nndsvda,0.0,1.0,0.3530608727934818,68.60731086143582
15,nndsvda,0.1,0.0,0.4927865892956376,70.42016756583303
