article_id,article_topic_category
24649804,environment
23510995,crime_law
9934348,politics
22497817,religion
31727993,politics
21032688,environment
29514753,politics
27516771,religion
26950887,education
10198519,economy
9607193,politics
28814768,healthcare
26551328,politics
30259443,economy
22832397,education
20566396,education
29593225,politics
23667130,politics
20884077,immigration
19088323,politics
21046030,politics
25489080,economy
32498319,crime_law
19355298,education
18200187,immigration
32970512,crime_law
26887006,politics
32865659,politics
18372092,politics
26463412,politics
24599918,politics
21802147,politics
8981162,economy
29929270,immigration
21737913,environment
7870191,immigration
14816960,healthcare
33053764,immigration
32924694,politics
8981199,politics
32603753,politics
20584451,environment
26197127,education
12943962,politics
12044933,politics
23226179,terrorism_security
7284384,crime_law
9049909,healthcare
25369940,social_issues
18623038,politics
31974015,politics
32349267,technology
11017537,economy
32572833,politics
18801847,economy
13814949,technology
17817032,politics
15379289,politics
12002990,politics
23790473,politics
13338436,immigration
32825167,education
15656715,politics
12595181,politics
9552951,economy
26625848,politics
9468281,politics
21993639,politics
28929770,economy
25784337,technology
31936046,immigration
32848587,politics
19451455,economy
32374019,terrorism_security
8987654,religion
7158424,politics
26259650,politics
12884424,environment
26745917,economy
14168845,education
28746785,politics
30184446,politics
30253643,politics
30717406,immigration
25954098,politics
32836823,politics
14914529,politics
30946848,religion
19275200,technology
31957926,politics
21859859,education
21294146,terrorism_security
22859366,politics
16629349,politics
29920633,environment
23195077,economy
30506696,education
27791123,politics
31458982,politics
33010290,politics
25594962,politics
18929634,politics
30611197,politics
18919949,crime_law
10841311,economy
32450897,politics
32904835,politics
19946283,politics
19537551,crime_law
29943621,religion
9017719,politics
32775277,politics
18906965,economy
20884087,technology
19495555,crime_law
8354440,environment
31519796,immigration
25876362,immigration
13393031,crime_law
26958176,politics
26626437,politics
18636097,politics
26912779,politics
20161330,healthcare
29840129,healthcare
11866667,economy
25733772,environment
26950822,politics
26440742,politics
12322083,social_issues
8410492,politics
20275061,technology
13876000,politics
18924862,other
23996997,economy
17829753,politics
22839404,education
27587177,politics
12770566,technology
11590368,education
30423670,religion
30190815,politics
26146915,crime_law
14933882,education
29534302,education
23482269,politics
25904759,politics
27853458,economy
21332975,politics
13196146,technology
13045413,politics
15429022,crime_law
25405906,politics
27445009,environment
24254907,economy
31719873,immigration
26006040,politics
27896251,crime_law
26048781,politics
21154663,technology
32172319,immigration
15571896,politics
31697478,education
8508794,politics
15788438,healthcare
32879115,economy
14039810,education
32278732,healthcare
7311834,politics
26749675,politics
19133525,technology
16235558,politics
27284617,religion
12043923,politics
25249936,crime_law
17472910,immigration
20307815,politics
25881705,crime_law
23603559,terrorism_security
29929971,healthcare
26504892,politics
28555139,politics
17332407,politics
31930773,education
21452668,terrorism_security
17906081,environment
15420906,environment
23585010,politics
23440363,environment
27851863,technology
19431656,healthcare
29805674,politics
30000832,politics
33010454,politics
31616143,politics
20101037,politics
30619632,politics
18218869,healthcare
9623677,politics
23044015,crime_law
12489445,sports
13867534,technology
14061569,economy
11542119,politics
32319203,sports
13583783,crime_law
26337638,politics
26844199,politics
32091358,crime_law
30019468,religion
18784774,economy
32113079,immigration
16488226,politics
13048608,politics
14570359,education
22191510,technology
30020390,social_issues
11559826,economy
18995528,politics
28279312,politics
9296018,education
19286515,education
8980035,religion
29117810,education
29299206,politics
32408940,politics
32931267,education
19885833,terrorism_security
16540845,politics
20484259,politics
27375968,politics
29920835,technology
28078527,politics
23209661,politics
24442030,politics
16608019,politics
22607554,environment
25414017,technology
23225310,economy
26464579,religion
24730884,politics
13117337,technology
27081030,politics
14917148,education
12288568,politics
25613373,politics
30966204,education
7460761,crime_law
26230640,environment
15419335,politics
14948568,politics
8749279,technology
23320243,crime_law
12394547,politics
27818473,immigration
30530244,politics
17718362,politics
23851006,economy
12032223,politics
13581949,technology
27616180,politics
9234617,economy
31950546,technology
32429995,politics
30019623,crime_law
27637057,terrorism_security
25541358,economy
26428075,healthcare
15324726,healthcare
26342014,education
19377387,economy
30210771,immigration
16661277,politics
21133679,economy
8718559,economy
24759214,education
19473366,sports
13814965,technology
30634698,politics
24326547,economy
29494028,crime_law
31199614,politics
27932642,politics
13514528,crime_law
20842873,politics
12371884,healthcare
6994760,economy
27251717,education
10108172,politics
18395520,technology
21705532,politics
22607511,politics
16462714,education
27392203,terrorism_security
9175062,environment
10527549,healthcare
32539423,technology
21329044,politics
28815854,education
32565400,politics
23227924,economy
29944241,politics
27550303,crime_law
21959724,economy
28156375,crime_law
26626422,environment
31975492,immigration
22275374,politics
10763895,politics
19088334,politics
24832696,social_issues
22152050,politics
28663570,politics
18056386,economy
17933940,politics
27307352,religion
31540028,politics
30472250,technology
26115657,politics
27583790,politics
15636708,technology
26897401,politics
28077650,education
10556177,healthcare
19355276,economy
18706645,technology
26096537,economy
12351880,politics
8356107,education
31336973,politics
17619321,crime_law
16279953,environment
13316854,politics
22771826,politics
30764169,politics
11876893,politics
26587805,politics
12915419,economy
23160602,education
28462603,education
27954558,politics
19842081,politics
28382249,immigration
27637804,politics
11579488,immigration
27179936,healthcare
24416814,politics
26883457,politics
18031911,politics
31122827,religion
28466632,economy
